,index,Index,N,-logL,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
5,5,12088,11.0,94.9068,0.2041907,1.789493,0.02406608,0.8400776,0.7140757,-1.225934,2.050256,0.0001857203,0.9104863,0.4489098,0.5573303
7,7,14756,49.0,90.0517,0.1580171,2.344104,0.02472888,1.132068,0.7355185,-0.3197889,2.012116,0.0001401288,0.9155717,0.3389914,0.7339325
13,13,10622,14.0,90.1065,0.1805131,2.302329,0.02164471,1.028378,0.8013961,-0.227241,2.050279,5.59758e-06,1.200674,0.315775,0.7761068
14,14,10671,8.0,90.4726,0.1805131,2.302329,0.02164471,1.028378,0.8013961,-0.227241,2.478378,0.0001509127,1.143327,0.315775,0.7761068
16,16,11007,13.0,94.3743,0.1678251,2.456056,0.02074074,1.025096,0.7798166,-0.3223614,2.53427,-0.0004403919,1.247422,0.3111423,0.8005018
20,20,10991,4.0,92.3311,0.1979979,1.911808,0.02297953,1.00494,0.7919244,-1.065545,2.886254,-0.0001004934,1.20354,0.3533822,0.6561979
22,22,13710,2.0,92.7653,0.2126809,1.895763,0.0225766,0.8640727,0.7958503,-1.467989,2.710939,-0.0001416373,1.026112,0.3724502,0.6324856
28,28,13871,1.0,94.9704,0.2135262,1.894414,0.02157576,0.8000711,0.6722205,0.07550255,2.901472,-1.360775e-05,0.7026463,0.5217001,0.5865094
34,34,11499,1.0,90.589,0.2145119,1.795367,0.02235337,0.8412704,0.6830197,-0.5742465,2.882923,4.203929e-05,0.9615713,0.5091132,0.5696644
43,43,12797,2.0,93.5996,0.2340317,1.785931,0.02075698,0.703983,0.7081825,0.3042285,3.104168,-1.986616e-05,0.965432,0.5093149,0.5667918
53,53,14165,2.0,93.8996,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,2.300607,0.0003258882,1.171688,0.4580496,0.6435715
56,56,12434,1.0,91.2607,0.2356874,1.965306,0.01959606,0.7296691,0.7474848,-0.6649745,2.433982,-7.796199e-05,1.065276,0.4580496,0.6435715
57,57,14966,1.0,89.9704,0.2221501,1.956733,0.02076077,0.7825177,0.7478806,-0.4095629,2.484401,-8.74112e-05,1.061726,0.4354443,0.6354694
58,58,12284,14.0,91.9017,0.1639603,2.493312,0.02094193,0.7752507,0.7531047,-1.173325,2.57147,-9.331423e-05,1.072331,0.3271461,0.711316
81,81,14631,1.0,91.636,0.1657981,1.905871,0.02105822,1.16418,0.6691234,0.1042254,2.115983,0.0001222244,1.163376,0.4187838,0.6093673
84,84,10126,11.0,92.3908,0.08859731,3.642554,0.02279106,1.159712,0.7690149,-0.08857124,2.174067,-0.0002811081,1.076847,0.1894413,0.9789314
87,87,12492,3.0,90.4231,0.1069782,3.185416,0.02238247,1.002563,0.6737186,-0.6461777,2.475441,-0.000248793,1.051363,0.2864194,0.8185432
95,95,12129,26.0,94.298,0.07456078,3.907286,0.023397,0.8053449,0.6870225,-1.789342,3.114462,-8.210983e-05,0.9878996,0.2089024,0.8471605
97,97,14948,20.0,95.8435,0.07456078,3.907286,0.023397,0.8053449,0.6870225,-1.789342,2.488743,5.750763e-05,1.104477,0.2089024,0.8471605
101,101,12540,3.0,92.4282,0.1035681,2.995165,0.02573269,1.180382,0.7217493,-0.6695494,2.279007,-0.0001452908,1.161952,0.2494517,0.771814
104,104,13091,3.0,92.3135,0.1228321,2.641527,0.02425694,1.094257,0.6999707,-1.268378,2.299631,-0.0001254645,1.176494,0.3015214,0.7049044
106,106,10302,13.0,92.3404,0.1228321,2.641527,0.02425694,1.094257,0.6999707,-1.268378,2.146626,-0.0002300318,1.132995,0.3015214,0.7049044
111,111,12062,7.0,93.0898,0.1202276,2.528435,0.02342077,1.201609,0.6704634,-1.21481,2.786881,-0.0001366856,1.068506,0.3209915,0.6827781
112,112,14305,1.0,92.3513,0.1202276,2.528435,0.02342077,1.201609,0.6704634,-1.21481,2.30021,-0.0001553191,0.9928468,0.3209915,0.6827781
113,113,14823,6.0,92.3289,0.1202276,2.528435,0.02342077,1.201609,0.6704634,-1.21481,2.387912,-0.0001900472,1.121804,0.3209915,0.6827781
119,119,11987,2.0,93.2008,0.1615437,1.907055,0.02203943,1.204502,0.702414,-0.3112569,2.878701,0.0001948032,0.8042267,0.3733942,0.6197073
120,120,11260,1.0,93.4292,0.1615437,1.907055,0.02203943,1.204502,0.702414,-0.3112569,2.812095,0.0003209993,0.8450127,0.3733942,0.6197073
124,124,13991,1.0,92.0848,0.180868,2.069631,0.0244374,1.014868,0.7396983,0.1435517,2.406646,-0.000134278,0.9068235,0.3764018,0.6575677
128,128,14047,10.0,92.1527,0.180868,2.069631,0.0244374,1.014868,0.7396983,0.1435517,2.744459,-0.0004088302,0.9906425,0.3764018,0.6575677
131,131,10845,7.0,94.3932,0.2075909,1.917535,0.02504013,1.012584,0.7243952,0.2928271,2.948899,-0.0001739589,1.041309,0.4445466,0.6478995
134,134,12441,5.0,91.3972,0.2151855,1.843441,0.02434609,0.9593425,0.7199219,-0.4458683,2.567105,2.32652e-05,1.200295,0.4634024,0.6208569
140,140,12186,6.0,89.5513,0.1336065,2.981852,0.02558942,0.9752524,0.7813656,-0.6519561,2.350433,0.0001472626,1.003418,0.2618045,0.8529334
143,143,14930,2.0,90.275,0.1167434,2.892329,0.02495581,1.24426,0.7455219,-0.5668396,2.290355,5.2918e-05,1.077724,0.256104,0.8352065
144,144,10484,3.0,90.096,0.1351775,2.632926,0.02564068,1.114159,0.7278983,-0.5149689,2.288969,1.892723e-05,1.038905,0.3047403,0.7544268
149,149,10869,4.0,91.0348,0.1354348,2.619322,0.02562803,1.058559,0.7355775,-1.104428,2.178561,-0.0001256204,0.9540336,0.2988627,0.7340913
153,153,13128,12.0,90.0056,0.1836386,2.412483,0.02265604,0.8075466,0.7969321,-0.2261459,2.456001,4.425272e-05,1.018955,0.3258361,0.7379809
158,158,14911,4.0,91.1931,0.1312842,2.966133,0.02172871,0.9662486,0.7895347,-0.4306104,2.879382,0.0001722768,0.9905553,0.2464961,0.8598684
159,159,10852,19.0,90.3523,0.08173397,4.080915,0.0233423,0.9383136,0.8021571,-1.123336,2.916335,0.0001732632,0.9518786,0.1643009,1.045628
160,160,13516,2.0,90.3869,0.0724529,4.302268,0.02394091,1.023267,0.8152489,-1.157136,2.935071,0.0001793644,0.9765936,0.1460028,1.093106
163,163,13240,6.0,90.677,0.08621123,3.748296,0.02451224,1.076454,0.7577763,-1.118126,2.83148,-9.241e-06,1.06953,0.1939442,0.9581501
164,164,10992,2.0,90.5679,0.08621123,3.748296,0.02451224,1.076454,0.7577763,-1.118126,2.622669,0.0001161303,1.059894,0.1939442,0.9581501
165,165,11467,7.0,91.1452,0.08621123,3.748296,0.02451224,1.076454,0.7577763,-1.118126,2.909858,0.0001246898,1.104826,0.1939442,0.9581501
166,166,12758,4.0,90.2983,0.08621123,3.748296,0.02451224,1.076454,0.7577763,-1.118126,2.517918,-0.000147605,0.9552397,0.1939442,0.9581501
167,167,11922,16.0,90.2151,0.07427465,4.098567,0.02552951,1.20135,0.7943142,-0.7117818,2.541878,-0.0001485863,0.9799547,0.1592054,1.066004
168,168,12625,6.0,90.7499,0.07427465,4.098567,0.02552951,1.20135,0.7943142,-0.7117818,2.734754,-9.394231e-05,0.8864413,0.1592054,1.066004
169,169,13800,1.0,92.0216,0.08421136,3.495138,0.02320862,1.20968,0.7510186,-1.245057,2.670643,-5.832155e-05,0.9153349,0.1915932,0.8857988
176,176,13347,3.0,92.1054,0.1227829,2.697233,0.02025629,1.119196,0.7173003,-1.10334,2.606932,0.0001334194,0.8565585,0.2792572,0.7613854
178,178,10668,9.0,92.2516,0.1209219,2.711163,0.02103386,1.044031,0.676097,-1.256072,2.725284,-5.580561e-05,0.8786014,0.3119617,0.7195597
181,181,12148,5.0,90.9858,0.1740957,1.926432,0.02273283,1.089992,0.7106388,-0.4520961,2.224252,0.0001947095,1.119214,0.3910293,0.6188881
183,183,10343,10.0,91.4952,0.1689032,2.400385,0.02039452,0.9587681,0.7784025,-0.6889237,2.537339,8.135633e-05,1.267626,0.3134817,0.7583384
187,187,13887,3.0,91.2004,0.1490252,2.499697,0.02227604,1.045324,0.6961102,-0.8616339,2.090248,-9.597366e-05,1.033402,0.3548415,0.7359039
188,188,11286,8.0,92.385,0.1108786,3.183293,0.02211054,1.015053,0.6853958,-1.227661,2.159244,-8.180531e-05,1.042893,0.2844669,0.8465764
192,192,10186,3.0,92.4513,0.1739884,2.5059,0.0237204,0.7785883,0.7063686,-0.6912062,2.725062,-6.804392e-05,1.134575,0.3975354,0.7159365
198,198,11341,2.0,93.0547,0.1225984,2.969874,0.02267172,0.9627082,0.6800647,-1.237263,2.272265,4.121386e-05,1.159957,0.3154984,0.7910777
202,202,14961,1.0,92.0635,0.109339,2.988994,0.02460282,1.165529,0.673491,-1.168236,2.011613,0.0002636862,1.004958,0.2967127,0.7874577
222,222,12546,5.0,94.0194,0.1066988,3.424662,0.02373289,0.7661706,0.714245,-1.144648,2.272742,-0.0001474072,1.086065,0.256938,0.844935
223,223,11546,5.0,94.2869,0.1066988,3.424662,0.02373289,0.7661706,0.714245,-1.144648,2.512606,-0.0001585575,1.275104,0.256938,0.844935
225,225,11402,2.0,92.9376,0.1918729,2.3522,0.02447244,0.7030468,0.7179799,-0.2060475,2.429792,-0.0001796029,1.244413,0.4209341,0.675241
226,226,12431,1.0,93.4282,0.1918729,2.3522,0.02447244,0.7030468,0.7179799,-0.2060475,2.961585,-0.000199644,1.143106,0.4209341,0.675241
233,233,13317,8.0,89.8401,0.1658197,2.248752,0.02587283,1.010745,0.7041843,-0.2033006,2.056107,-0.0001414956,1.1073,0.3878728,0.6661605
236,236,12101,4.0,91.9932,0.1208786,2.854342,0.02517557,1.033498,0.7177915,-0.7974445,2.468877,-0.0002056068,1.232155,0.2847269,0.7556844
239,239,10284,2.0,93.8245,0.1872953,1.761554,0.02546268,1.083964,0.6938934,-0.5559218,2.380746,-0.0003681467,1.27297,0.4432137,0.5759657
245,245,10745,6.0,93.7941,0.1940518,2.259595,0.01991855,0.7722851,0.7386249,-0.9843023,2.981744,0.0001851956,0.9179498,0.393379,0.6914872
246,246,12426,5.0,91.7073,0.2003427,2.139436,0.01902213,0.8226269,0.7677503,-0.9298465,2.943774,0.0001734705,0.9194516,0.3732505,0.6875423
254,254,13399,28.0,92.3296,0.2430787,1.961226,0.02074644,0.7962676,0.8168082,-0.7011592,2.102309,0.0004166553,1.051659,0.3964013,0.6860968
255,255,14648,1.0,92.666,0.2430787,1.961226,0.02074644,0.7962676,0.8168082,-0.7011592,2.465703,0.0004189641,1.065037,0.3964013,0.6860968
258,258,11769,13.0,89.8034,0.2477259,1.717201,0.02065589,0.9125629,0.8040654,-0.4920708,2.252621,0.0001577666,0.9979003,0.4161131,0.6472801
261,261,13877,1.0,92.1685,0.2097568,2.226503,0.01978995,0.7519948,0.8106671,-1.174087,2.390442,0.0001900207,1.014516,0.3502701,0.7173032
262,262,11159,2.0,91.9969,0.2097568,2.226503,0.01978995,0.7519948,0.8106671,-1.174087,2.460676,-0.0001634391,1.005634,0.3502701,0.7173032
276,276,12493,1.0,91.4323,0.1634685,2.306944,0.02182961,1.070365,0.8164422,-0.2166211,2.301994,0.000140365,1.171538,0.2789506,0.7525007
277,277,14469,1.0,91.8977,0.1634685,2.306944,0.02182961,1.070365,0.8164422,-0.2166211,2.360478,9.820778e-05,1.185542,0.2789506,0.7525007
279,279,12193,7.0,91.805,0.1081765,3.100715,0.02045898,1.127585,0.8053038,-0.8246879,2.414456,0.0001868229,1.050223,0.1993474,0.8798781
283,283,13546,7.0,93.3003,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.877534,0.000466406,1.014097,0.1546878,1.064033
285,285,14131,8.0,90.4076,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.658423,-9.338021e-05,1.069424,0.1546878,1.064033
286,286,14047,1.0,90.8464,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.761625,-2.365081e-05,1.013757,0.1546878,1.064033
290,290,12735,9.0,94.0396,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.308689,0.0004479024,0.8754959,0.1546878,1.064033
293,293,14216,10.0,95.1052,0.08416625,3.993208,0.01901348,0.9292012,0.8192577,-1.494737,2.435955,0.0005863976,1.014788,0.1546878,1.064033
301,301,13486,13.0,90.0665,0.08615412,4.024202,0.01960132,0.9023752,0.8078968,-1.165238,2.553688,5.676724e-05,0.9368089,0.1630152,1.080887
304,304,11683,37.0,89.7113,0.1163429,3.253983,0.01902531,0.9279162,0.8008205,-0.6586392,2.642577,6.838479e-05,1.102567,0.212084,0.9234006
311,311,13309,1.0,90.6314,0.1405766,2.906024,0.02195772,0.874865,0.8144952,-0.4240418,3.003031,2.171083e-06,0.9830162,0.245972,0.8400923
322,322,12423,11.0,92.9744,0.165023,2.419042,0.02614089,0.8937445,0.7398146,-0.3349219,2.918015,-0.0005082748,0.9846786,0.3504459,0.6958914
326,326,13506,9.0,93.777,0.1363742,2.860423,0.02270968,1.012246,0.8159562,-0.4839852,2.823148,-0.0005352696,1.16539,0.2399095,0.8536991
327,327,10707,1.0,93.5037,0.1240013,3.223549,0.02195883,0.8813197,0.8081229,-0.5853453,2.91945,-0.0005193032,1.159745,0.2244873,0.909258
328,328,10837,4.0,93.95,0.1082257,3.314958,0.02115498,0.9079334,0.7601119,-0.2326168,2.963261,-0.0005177457,1.129063,0.225046,0.8762077
333,333,10930,3.0,91.4671,0.1471329,2.893945,0.02195005,0.8395865,0.7984963,-0.9671856,2.308595,0.0001945584,1.072099,0.2661983,0.8426431
334,334,10294,2.0,91.0709,0.1763176,2.672367,0.02201233,0.7538794,0.8085867,-0.7978146,2.310007,0.0001931526,1.068687,0.304329,0.807777
344,344,13724,5.0,90.4505,0.1807176,2.271495,0.02306784,1.014966,0.789618,0.2833117,2.707952,1.783613e-05,1.06141,0.3278761,0.7491191
353,353,11647,1.0,91.4301,0.1819686,2.146778,0.02084288,0.9673155,0.7342966,-0.4753805,2.691844,-9.309149e-05,0.7923091,0.3773346,0.684884
361,361,13830,5.0,93.338,0.1724833,2.218879,0.02089199,1.004622,0.7002621,0.3252335,2.03832,-0.0002568944,0.969484,0.3956615,0.6905346
369,369,13448,4.0,89.5598,0.1367122,2.741963,0.02171327,1.112345,0.8090475,-0.4376231,2.117626,-6.533091e-05,1.027648,0.2430185,0.850761
372,372,10536,5.0,91.5783,0.1070609,3.344692,0.02149846,0.9771451,0.7441111,-0.869683,2.182854,-0.0003860182,1.098041,0.2333452,0.9019979
373,373,13370,13.0,90.4248,0.1070609,3.344692,0.02149846,0.9771451,0.7441111,-0.869683,2.191862,-0.0002639294,1.06642,0.2333452,0.9019979
377,377,14781,14.0,89.6521,0.1348317,2.743566,0.01963347,0.9617597,0.7064673,-0.3052088,2.749506,-1.709487e-05,0.9791876,0.3107805,0.7741549
383,383,14287,1.0,91.4282,0.1538194,2.259922,0.02027673,0.9126426,0.6410686,0.1804207,3.045685,-0.0002538227,1.013914,0.4251909,0.6230733
394,394,13439,1.0,92.2874,0.0997006,3.185201,0.02255065,0.9812894,0.6665749,-0.1274572,2.90431,-0.0003062676,1.105516,0.2765908,0.7715022
400,400,10310,2.0,91.4121,0.1046306,3.133961,0.01996417,0.9797268,0.6894649,-0.4831972,2.325597,-0.0001229925,1.102388,0.2634602,0.7994517
401,401,14039,1.0,92.3289,0.1046306,3.133961,0.01996417,0.9797268,0.6894649,-0.4831972,2.421995,-0.0002649362,0.8961772,0.2634602,0.7994517
403,403,11857,2.0,94.9582,0.1232413,2.629116,0.01916489,0.9824792,0.6942755,-0.901839,2.326103,-0.0002325708,0.8033033,0.2967735,0.6971868
406,406,11841,2.0,93.823,0.1375948,2.500548,0.01985476,0.9243115,0.7178912,-1.194871,2.496167,-0.0002731354,1.088108,0.3067591,0.6848771
408,408,10801,1.0,91.2651,0.1436241,2.403001,0.02346291,1.094307,0.7045362,-0.1921794,2.362778,-0.0002942974,1.049172,0.3379148,0.6970521
415,415,11562,1.0,92.8557,0.1717787,2.050299,0.01979205,0.9083768,0.6907544,-0.1926547,2.535608,-0.0003169584,0.9670249,0.4028466,0.6094351
422,422,10824,9.0,92.1864,0.1803165,2.383476,0.01886931,0.9007718,0.764942,0.4724189,2.962742,-4.491222e-05,0.9571081,0.34151,0.7629312
425,425,12917,3.0,93.5076,0.1668618,2.319164,0.01983255,0.8801134,0.7765748,0.4362324,3.073917,0.0001076537,0.932279,0.3106422,0.6994573
427,427,11937,5.0,92.3191,0.1349545,2.981195,0.01908067,0.8755624,0.8185561,0.07508903,3.100387,0.0001109912,0.948382,0.2308529,0.8698695
432,432,12697,4.0,91.8236,0.193787,2.153672,0.02052229,0.7898926,0.72553,-0.03536249,2.718948,0.0001050034,1.070599,0.4083511,0.6547437
436,436,10089,4.0,92.992,0.193787,2.153672,0.02052229,0.7898926,0.72553,-0.03536249,2.791739,0.0002850139,0.8564833,0.4083511,0.6547437
443,443,14079,1.0,92.2697,0.07797848,3.544938,0.02113287,1.139535,0.6579035,-0.6699499,2.928168,0.0001443955,0.8314091,0.2304689,0.8272616
444,444,12738,1.0,91.8846,0.07797848,3.544938,0.02113287,1.139535,0.6579035,-0.6699499,2.84166,0.0001334817,0.8720492,0.2304689,0.8272616
446,446,12807,1.0,92.2602,0.08657833,3.303205,0.01981433,1.077854,0.659121,-0.6114471,2.850424,0.00020445,0.9350221,0.2463785,0.7847705
453,453,14985,8.0,92.4529,0.1699555,1.9817,0.01906419,0.9863316,0.6703791,-0.5218876,2.495357,-5.739592e-05,1.299363,0.4220303,0.6023219
464,464,12134,9.0,95.5147,0.1383015,2.184893,0.02171823,1.158244,0.7111216,0.4058448,3.05713,-0.0002120568,1.091752,0.3177098,0.6383084
466,466,10608,2.0,97.272,0.1518046,1.925144,0.02064444,1.147395,0.7284045,0.3868846,2.787403,-2.503215e-05,1.162039,0.3262381,0.6004036
471,471,13891,1.0,94.6733,0.129511,2.395334,0.02431517,1.095277,0.7013841,-0.2437232,2.995897,-2.635554e-05,1.231974,0.3140025,0.6456229
481,481,11285,7.0,91.3463,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,2.391795,8.902145e-05,0.8797101,0.2070549,0.9149575
482,482,12450,1.0,90.568,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,2.299105,-3.559385e-05,1.003075,0.2070549,0.9149575
487,487,13063,1.0,92.38,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,2.322847,-0.0002393089,1.210692,0.2070549,0.9149575
488,488,13519,3.0,91.8524,0.06907233,3.939183,0.02267901,1.167139,0.6680095,-1.341227,2.575385,-0.0002839305,0.9682494,0.2070549,0.9149575
491,491,11050,2.0,92.789,0.07193323,3.752082,0.0213648,1.240056,0.695177,-0.6164944,2.241114,-0.0002356343,0.8649131,0.1943882,0.9027816
498,498,10023,2.0,92.116,0.1905734,2.264259,0.01992977,0.9726413,0.7746914,0.4085422,2.208874,-0.0001676717,0.9533513,0.3518261,0.7636935
500,500,14237,5.0,90.6488,0.1275684,2.685881,0.01908625,1.157488,0.7694028,-0.3185052,2.205688,-0.0001636755,0.9806289,0.2488237,0.8133477
501,501,14192,2.0,90.9031,0.1275684,2.685881,0.01908625,1.157488,0.7694028,-0.3185052,2.069928,-0.0001036309,0.8940563,0.2488237,0.8133477
505,505,14806,6.0,90.6184,0.108908,3.094218,0.01914428,1.088805,0.7119159,-0.8714406,2.538554,-0.0001355523,0.9121678,0.253927,0.8524521
506,506,14311,4.0,90.5327,0.1842663,2.011292,0.01963357,0.9849927,0.7449325,-0.5673933,2.476481,-0.0001447432,0.9124751,0.3685979,0.657887
508,508,12356,5.0,92.6697,0.1649341,2.322655,0.01955465,0.9987894,0.7517118,-0.5871902,2.517576,-0.0003922521,0.8189621,0.3276278,0.7302621
509,509,11961,9.0,94.3366,0.1649341,2.322655,0.01955465,0.9987894,0.7517118,-0.5871902,2.40985,-0.000592934,1.032128,0.3276278,0.7302621
512,512,14986,3.0,93.4524,0.1757282,2.034931,0.0195892,1.061106,0.7949414,-0.8084257,2.922534,-0.0002855517,0.8261092,0.3100991,0.687425
524,524,13914,2.0,93.1728,0.1409308,2.500171,0.02003771,1.219891,0.7840007,-0.08847298,2.443258,0.0003343097,0.92407,0.2629314,0.8145894
526,526,13179,2.0,91.73,0.1425689,2.580786,0.01980441,1.134464,0.7943583,-0.6573295,2.481146,0.0003460228,0.9540714,0.2583457,0.8234287
527,527,14256,8.0,91.2981,0.1715681,2.3231,0.02092274,0.9977062,0.7700847,-0.5298483,2.514699,0.000356606,0.9490803,0.3256745,0.7449355
532,532,12517,1.0,90.7056,0.1952292,2.188248,0.02174719,0.830506,0.8087599,-0.8564241,2.350936,7.569693e-05,0.9831267,0.332706,0.6955817
538,538,10674,19.0,89.9576,0.202398,2.085519,0.02143199,0.8911515,0.7959939,-0.5441872,2.915359,-0.0001393826,1.047782,0.3542802,0.691866
542,542,11029,1.0,91.2669,0.1800693,2.283436,0.0206151,0.8174732,0.7740176,-1.201244,2.685772,-2.46084e-05,1.103408,0.3360499,0.6921051
548,548,10210,5.0,91.4081,0.1269554,3.028151,0.01935319,0.9844682,0.8089599,-1.135897,3.010483,-0.000163834,0.9372657,0.2245554,0.8957273
556,556,14118,5.0,92.8873,0.1559157,2.156763,0.01954478,1.076141,0.7582922,-1.432455,3.019481,2.468306e-05,1.08208,0.3062651,0.6763803
558,558,12978,6.0,91.6632,0.1809496,1.896591,0.02161113,1.085142,0.7942328,-0.9473247,2.743291,4.382261e-05,1.017066,0.3221354,0.6513399
560,560,14932,8.0,92.3299,0.1995174,2.00907,0.02359617,0.9748297,0.7842366,-0.9350615,3.053115,-0.0001145875,1.128307,0.3638177,0.676614
562,562,14461,4.0,90.9341,0.1995174,2.00907,0.02359617,0.9748297,0.7842366,-0.9350615,2.493781,-9.172376e-05,0.9235362,0.3638177,0.676614
563,563,13979,6.0,92.5002,0.2094223,1.763741,0.0239892,0.9384997,0.8019671,-1.070266,2.486603,-8.75444e-05,0.9325129,0.3639202,0.6059276
568,568,10653,3.0,91.4148,0.1744092,2.642684,0.02546828,0.7287039,0.8195083,-1.189506,2.838643,9.312604e-05,0.9903776,0.2985758,0.7666535
571,571,12887,1.0,91.0549,0.1662429,2.536397,0.02384133,0.8915636,0.7946364,-0.9840343,2.836494,0.0001785392,0.9806677,0.3020496,0.765222
573,573,10887,1.0,90.1661,0.1604477,2.364872,0.02262566,0.9409103,0.7027815,-0.5911203,2.585392,-2.047516e-05,1.033356,0.3719716,0.6868746
576,576,10773,1.0,90.171,0.1788791,2.010449,0.02254344,0.9866429,0.6863229,-0.4847669,2.426655,-0.0001422228,1.059652,0.4289808,0.6182976
578,578,14860,1.0,89.9715,0.1788791,2.010449,0.02254344,0.9866429,0.6863229,-0.4847669,2.362961,4.148021e-05,0.961674,0.4289808,0.6182976
581,581,13881,5.0,89.8023,0.1335767,2.580412,0.02141393,1.112434,0.6882161,-0.4725218,2.367279,3.55217e-05,0.9526521,0.3285919,0.7398662
582,582,14285,2.0,90.0569,0.1734248,2.012408,0.01983971,1.136553,0.7136624,0.02336035,2.313047,1.3767e-05,0.9348459,0.3807251,0.6730174
588,588,11780,1.0,92.5784,0.1199405,2.505236,0.01933624,1.154257,0.6984667,-0.7388384,2.771311,6.277584e-06,0.8887068,0.2868079,0.6915714
592,592,11783,1.0,91.2916,0.07464857,3.570642,0.0201183,1.172354,0.6431978,-0.786053,3.029014,-0.000123446,1.016164,0.2306266,0.8247615
596,596,10054,2.0,92.4258,0.09143151,3.416809,0.0201261,1.209297,0.7263393,-0.6363383,2.74416,-0.00012348,1.268967,0.212677,0.9265955
602,602,14765,1.0,92.852,0.05889289,4.318891,0.01996428,1.172095,0.7123802,-1.680091,2.270744,-0.0001836462,1.158969,0.1566573,1.01224
609,609,11203,8.0,93.4536,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.212628,0.0002580269,1.009161,0.1308396,1.077649
611,611,10557,9.0,93.9845,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.976407,0.0003305124,1.159911,0.1308396,1.077649
614,614,14286,1.0,92.9619,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.562011,0.0002557832,1.030144,0.1308396,1.077649
618,618,14057,7.0,93.3026,0.05010175,4.755626,0.0190084,1.075287,0.7301561,-2.046853,2.318936,8.190371e-05,0.9562173,0.1308396,1.077649
623,623,11130,7.0,93.2585,0.05545258,4.573195,0.02004159,1.073966,0.6955801,-2.14164,2.425265,-0.0002360865,1.012719,0.1573653,1.054131
633,633,12195,1.0,92.5865,0.05412891,4.487232,0.02098732,1.156378,0.690964,-1.672832,2.915173,0.0002172325,1.093758,0.1586833,1.005824
635,635,14754,2.0,93.4821,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.708051,-2.356019e-05,1.162309,0.190849,0.899436
636,636,10528,1.0,95.3033,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.577433,-0.0003429523,1.263651,0.190849,0.899436
638,638,14653,7.0,93.7109,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.573798,2.943699e-07,1.196899,0.190849,0.899436
642,642,14935,1.0,93.1323,0.0680696,3.807459,0.02128585,1.277402,0.6867131,-1.643796,2.099856,1.262938e-06,1.238872,0.190849,0.899436
645,645,14431,1.0,94.096,0.05260733,4.410991,0.02089292,1.16732,0.6674016,-1.510305,2.112927,0.000252635,1.080489,0.1664576,0.9460177
648,648,14818,6.0,92.9455,0.05747414,4.507029,0.02002197,1.160694,0.6849473,-1.249073,2.868449,0.0002432972,0.8755674,0.1665561,1.079476
649,649,14939,1.0,92.0436,0.05747414,4.507029,0.02002197,1.160694,0.6849473,-1.249073,2.781037,9.88502e-05,0.8477466,0.1665561,1.079476
650,650,12329,5.0,92.7895,0.05747414,4.507029,0.02002197,1.160694,0.6849473,-1.249073,2.891313,-1.651857e-05,0.7985287,0.1665561,1.079476
651,651,13727,3.0,92.1491,0.05668871,4.452195,0.02000556,1.063345,0.6511535,-1.191574,2.962623,-1.475091e-06,0.7851288,0.1824015,1.001166
655,655,13398,5.0,90.8577,0.05493913,4.656683,0.02058538,1.006794,0.6838772,-1.241705,2.539147,1.753431e-05,0.8839025,0.1628621,1.060644
657,657,11285,1.0,92.0441,0.06436344,4.222738,0.02053222,1.087296,0.740855,-1.27313,2.571099,-0.0001211232,0.9267957,0.1558482,1.004094
661,661,12617,3.0,92.8492,0.06469597,4.394257,0.02303253,1.03356,0.7024432,-1.468352,2.483898,-1.491967e-05,1.138959,0.1790999,1.045038
666,666,13035,5.0,95.0047,0.06469597,4.394257,0.02303253,1.03356,0.7024432,-1.468352,2.317285,6.956511e-05,0.7090256,0.1790999,1.045038
669,669,10205,8.0,91.6967,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.722117,-5.209049e-05,0.8665575,0.1663189,0.987887
671,671,14693,1.0,92.0073,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.246039,0.0002139744,0.9897836,0.1663189,0.987887
673,673,12515,1.0,91.4543,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.868972,0.0002109689,1.001828,0.1663189,0.987887
674,674,12427,1.0,91.0287,0.05790616,4.368521,0.02031623,1.092358,0.6886135,-1.266475,2.580276,1.613705e-05,0.9896394,0.1663189,0.987887
683,683,13340,6.0,90.372,0.06293009,4.370183,0.02159741,1.05788,0.6811687,-0.9874513,2.466724,-6.589502e-05,1.108805,0.1835632,1.030023
